"category","headline","authors","link","short_description","date"
"WELLNESS","Chew Your Way to Losing More Body Fat","Dr. Georgianna Donadio, Contributor\nRelationships expert, author and media personality who helps p...","https://www.huffingtonpost.com/entry/chewing-weight_us_5b9b572be4b03a1dcc76c29b","Three research studies from the last few years have explored an interesting tool that could potentially be used to combat the obesity epidemic in our culture.","2012-02-16"
"PARENTING","Valentine's Baby Born With Heart-Shaped Birthmark And Red Hair In Indiana (PHOTOS)","Ileana Llorens","https://www.huffingtonpost.com/entry/valentines-baby-heart-birthmark-red-hair_us_5b9b5747e4b03a1dcc76c32f","The Indiana parents weren't the only couple to welcome a baby with a heart-shaped birthmark on Valentine's Day, though. A","2012-02-16"
"STYLE & BEAUTY","Lara Stone Won't Discuss Nudity, Prefers Puppy Talk","Sarah Leon","https://www.huffingtonpost.com/entry/lara-stone-nudity_us_5b9b5746e4b03a1dcc76c320","""It was pretty crazy,"" added Stone, ""but I've done bikinis in the snow and rain, it's kind of crazy. In LA, it was freezing","2012-02-16"
"DIVORCE","Divorce Stress Syndrome: Panic Attacks. Insomnia. Crippling Back Pain. How Break-ups Take A Worrying Toll On Our Health","","https://www.huffingtonpost.comhttp://www.dailymail.co.uk/femail/article-2101711/Divorce-stress-syndrome-Panic-attacks-Insomnia-Crippling-pain-How-break-ups-worrying-toll-health.html?ito=feeds-newsxml","Opening a bottle of wine, Rachel Boyd settled down on the sofa beside her husband Paul, ready to spend a relaxing Sunday","2012-02-16"
"WEDDINGS","Whitney Houston Wedding: Sean 'Diddy' Combs Recalls Singer's Nuptials (VIDEO)","","https://www.huffingtonpost.com/entry/whitney-houston-wedding_us_5b9b5745e4b03a1dcc76c2ff","Rap mogul Sean ""Diddy"" Combs stopped by ""The Ellen DeGeneres Show"" on Thursday to honor musical icon Whitney Houston, who","2012-02-16"
"DIVORCE","Divorce Survey: TeamViewer Finds 5 Percent Would Divorce In Order To Telecommute","","https://www.huffingtonpost.com/entry/divorce-study_us_5b9b5743e4b03a1dcc76c2e8","According to a new survey by software company TeamViewer, 5 percent of 2,630 Americans polled said they would divorce their","2012-02-16"
"STYLE & BEAUTY","High Cheekbones: How To Fake A More Sculpted Look (VIDEO)","Simone Kitchens","https://www.huffingtonpost.com/entry/high-cheekbones-how-to_us_5b9b5738e4b03a1dcc76c2bf","We've enlisted makeup artist Annamarie Tendler to show us how to get the look in the video above. Then click through the","2012-02-16"
"FOOD & DRINK","Know Your Presidential Foods (QUIZ)","Kitchen Daily, Kitchen Daily","https://www.huffingtonpost.com/entry/presidential-foods_us_5b9b5500e4b03a1dcc76b1cf","At Kitchen Daily we're making a food holiday out of Presidents' Day! Formally observed as Washington's Birthday, it's no","2012-02-16"
"WELLNESS","The Power of Kindness in Your Relationships","Margaret Paul, PhD , Contributor\nBest-selling author, seminar leader and co-creator of Inner Bo...","https://www.huffingtonpost.com/entry/kindness_us_5b9b5500e4b03a1dcc76b1ee","Which is more important to you in your relationships -- to be kind or to control?","2012-02-16"
"TRAVEL","New York Mag's Fashion Editor On Her Fave NYC Hotels","Oyster.com, Contributor\nThe Hotel Tell-All","https://www.huffingtonpost.com/entry/new-york-mags-fashion-edi_us_5b9b54fce4b03a1dcc76b15e","The Chicago native, who has described her style as ""preppy sportswear with punches of fun,"" knows how to pick out ideal spots to cool her heels between shows.","2012-02-16"
"WELLNESS","Weight Loss Is Contagious: 'Biggest Loser' Style Team-Based Competitions Are Effective, Study Says","","https://www.huffingtonpost.com/entry/weight-loss-contagious_us_5b9b5515e4b03a1dcc76b28c","Publishing in the journal, Obesity, researchers from the Miriam Hospital's Weight Control and Diabetes Research Center and","2012-02-16"
"TRAVEL","Coal Mining Towns, ""The Corner"" And A Photography Exhibit At The Tremaine Gallery (PHOTOS)","Randy Fox, Contributor\nWriter and photographer","https://www.huffingtonpost.com/entry/americas-coal-mining-towns_us_5b9b54ffe4b03a1dcc76b1b3","Fabricated is an exhibit curated by Melissa Stafford and is taking place at the Tremaine Gallery at the Hotchkiss School in Lakeville, Connecticut. The show ""examines, through photography, the relationship between the individual and his or her designed environment.""","2012-02-16"
"WEDDINGS","Nagging Matters","Howard J. Markman, Ph.D, Contributor\nContributor","https://www.huffingtonpost.com/entry/nagging-matters_us_5b9b5698e4b03a1dcc76bcda","Nagging is a major problem for relationships compared to other relationship issues because virtually all couples nag compared, for example, to relatively rare but traumatic problems such as adultery.","2012-02-16"
"WEDDINGS","Royal Wedding Dolls: Mattel's Prince William And Kate Middleton Barbie Dolls Set For Release (PHOTO)","","https://www.huffingtonpost.com/entry/royal-wedding-dolls-matte_us_5b9b569ce4b03a1dcc76bd39","Photos courtesy of Mattel. This isn't the first time we're seeing royal wedding dolls. Last year, collectable company Franklin","2012-02-16"
"STYLE & BEAUTY","Naomie Harris' Two Beauty Looks: Which Do You Like Best? (POLL)","Dana Oliver","https://www.huffingtonpost.com/entry/naomie-harris-beauty_us_5b9b569ce4b03a1dcc76bd42","Location: ELLE Style Awards in London, England on February 13th, 2012 Look One: The 35-year-old English actress and new Bond","2012-02-16"
"PARENTING","Post-Natal Care In France: How I Got My Vagina Back In Shape","Sarah H. Lee","https://www.huffingtonpost.com/entry/post-natal-care-in-france_us_5b9b56a0e4b03a1dcc76bd8d","As you can imagine if you've ever watched a Gallic romantic comedy, the French are a little more blasé about the female body","2012-02-16"
"STYLE & BEAUTY","Zelda Kaplan Dies After Collapsing At Joanna Mastroianni Fashion Show","Ellie Krupnick","https://www.huffingtonpost.com/entry/zelda-kaplan-dead_us_5b9b56a1e4b03a1dcc76bdb4","Known for African-inspired hats and prints as well as her round sunglasses, Kaplan was a world traveler who had journeyed","2012-02-16"
"TRAVEL","Capturing Travel Through Photography (PHOTOS)","Rick Steves, Contributor\nContributor","https://www.huffingtonpost.com/entry/capturing-the-magic-of-tr_us_5b9b569fe4b03a1dcc76bd52","We just enjoyed our annual all-staff meeting and our art department shared some of the best of the new photos in our arsenal.","2012-02-16"
"WELLNESS","Running Shorter","Heidi Dietrich Mills, Contributor\nWriter, journalist, and athlete living in Seattle.","https://www.huffingtonpost.com/entry/running-shorter_us_5b9b569fe4b03a1dcc76bd7b","I've been running marathons, and then ultra marathons, for the past seven years. I've become accustomed to putting several 50Ks, a road marathon and maybe even a 50-mile run on the calendar each January. But this year, I'm taking the opposite track, and scaling back.","2012-02-16"
"HOME & LIVING","Trending LED: Switch Out Your Incandescent and CFLs to LED Light Bulbs","Marcia Prentice, Contributor\nInterior Designer and former blogger, Style Illuminated by LAM...","https://www.huffingtonpost.com/entry/led-light-bulbs_us_5b9b5699e4b03a1dcc76bd2b","To find out what all the LED hype was about, I headed down the hall to our light bulb buyer's office to round up a handful of LED bulbs and get a quick LED light bulb lesson.","2012-02-16"
